gene_id,gene_symbol
64170,CARD9
51256,TBC1D7
28981,IFT81
8216,LZTR1
6505,SLC1A1
5949,RBP3
583,BBS2
4750,NEK1
51569,UFM1
392255,GDF6
79827,CLMP
134701,RIPPLY2
55240,STEAP3
3910,LAMA4
63924,CIDEC
6890,TAP1
7068,THRB
51099,ABHD5
2731,GLDC
149775,GNAS-AS1
2778,GNAS
8675,STX16
54714,CNGB3
2073,ERCC5
396,ARHGDIA
201163,FLCN
283489,CHAMP1
84665,MYPN
166378,AFG2A
4790,NFKB1
84197,POMK
81846,SBF2
54795,TRPM4
1369,CPN1
3190,HNRNPK
5832,ALDH18A1
657,BMPR1A
4089,SMAD4
1280,COL2A1
54567,DLL4
2261,FGFR3
7436,VLDLR
200942,KLHDC8B
4508,MT-ATP6
5621,PRNP
7490,WT1
5159,PDGFRB
81848,SPRY4
388588,SMIM1
2623,GATA1
1848,DUSP6
54756,IL17RD
51761,ATP8A2
51702,PADI3
4247,MGAT2
5373,PMM2
5337,PLD1
54345,SOX18
5317,PKP1
167691,LCA5
2072,ERCC4
55768,NGLY1
8822,FGF17
23767,FLRT3
3982,LIM2
4284,MIP
3845,KRAS
5604,MAP2K1
55687,TRMU
79719,AAGAB
1311,COMP
5605,MAP2K2
6305,SBF1
682,BSG
1615,DARS1
3800,KIF5C
11041,B4GAT1
11311,VPS45
113179,ADAT3
6901,TAFAZZIN
29958,DMGDH
57609,DIP2B
6654,SOS1
1491,CTH
23299,BICD2
1436,CSF1R
92749,DRC1
4854,NOTCH3
8200,GDF5
2694,CBLIF
285203,EOGT
859,CAV3
1756,DMD
54101,RIPK4
58495,OVOL2
7273,TTN
4893,NRAS
3265,HRAS
5290,PIK3CA
64132,XYLT2
658,BMPR1B
650,BMP2
10020,GNE
6448,SGSH
10564,ARFGEF2
5396,PRRX1
1798,DPAGT1
51259,TMEM216
56623,INPP5E
4023,LPL
959,CD40LG
1950,EGF
6442,SGCA
56945,MRPS22
10165,SLC25A13
1294,COL7A1
5660,PSAP
3662,IRF4
4437,MSH3
2956,MSH6
999,CDH1
27030,MLH3
154881,KCTD7
4068,SH2D1A
331,XIAP
2312,FLG
7480,WNT10B
1145,CHRNE
2334,AFF2
24140,FTSJ1
6928,HNF1B
3054,HCFC1
4625,MYH7
4647,MYO7A
10083,USH1C
79955,PDZD7
7399,USH2A
6331,SCN5A
7401,CLRN1
27316,RBMX
208,AKT2
434,ASIP
2065,ERBB3
7291,TWIST1
4210,MEFV
9294,S1PR2
3914,LAMB3
1308,COL17A1
1278,COL1A2
4609,MYC
8842,PROM1
9968,MED12
3588,IL10RB
3459,IFNGR1
3455,IFNAR2
80184,CEP290
1413,CRYBA4
57010,CABP4
162417,NAGS
128178,EDARADD
10913,EDAR
2993,GYPA
51360,MBTPS2
2324,FLT4
91662,NLRP12
23096,IQSEC2
2799,GNS
10084,PQBP1
5339,PLEC
2521,FUS
348,APOE
54187,NANS
1282,COL4A1
284058,KANSL1
2779,GNAT1
6010,RHO
6556,SLC11A1
60506,NYX
138050,HGSNAT
23171,GPD1L
11277,TREX1
1855,DVL1
7474,WNT5A
5903,RANBP2
2034,EPAS1
337,APOA4
54809,SAMD9
170302,ARX
27445,PCLO
1373,CPS1
59,ACTA2
4669,NAGLU
60678,EEFSEC
7818,DAP3
144577,KICS2
3852,KRT5
168667,BMPER
773,CACNA1A
2643,GCH1
26128,KIFBP
80308,FLAD1
5961,PRPH2
6094,ROM1
55811,ADCY10
126792,B3GALT6
5376,PMP22
4359,MPZ
478,ATP1A3
9401,RECQL4
727897,MUC5B
729238,SFTPA2
6440,SFTPC
7015,TERT
7012,TERC
89910,UBE3B
6311,ATXN2
1135,CHRNA2
169522,KCNV2
547,KIF1A
1286,COL4A4
5133,PDCD1
23020,SNRNP200
84690,SPATA22
771,CA12
11155,LDB3
25778,DSTYK
7780,SLC30A2
64324,NSD1
6521,SLC4A1
10842,PPP1R17
2053,EPHX2
336,APOA2
3949,LDLR
2690,GHR
129607,CMPK2
51398,WDR83OS
3778,KCNMA1
2492,FSHR
100507217,CHASERR
5984,RFC4
1678,TIMM8A
10518,CIB2
7374,UNG
50674,NEUROG3
6833,ABCC8
1591,CYP24A1
4598,MVK
1234,CCR5
79053,ALG8
57465,TBC1D24
727857,BHLHA9
6950,TCP1
90268,OTULIN
57217,TTC7A
84839,RAX2
1524,CX3CR1
7098,TLR3
729230,CCR2
30835,CD209
6356,CCL11
6349,CCL3L1
6352,CCL5
3107,HLA-C
3577,CXCR1
6347,CCL2
6348,CCL3
6387,CXCL12
3586,IL10
3458,IFNG
7203,CCT3
4215,MAP3K3
5644,PRSS1
1080,CFTR
11330,CTRC
5645,PRSS2
6690,SPINK1
23503,ZFYVE26
477,ATP1A2
285527,FRYL
112476,PRRT2
219736,STOX1
6905,TBCE
6949,TCOF1
546,ATRX
6611,SMS
1374,CPT1A
81887,LAS1L
91181,NUP210L
84230,LRRC8C
23479,ISCU
8692,HYAL2
28982,FLVCR1
54463,RETREG1
6335,SCN9A
65125,WNK1
9276,COPB2
1376,CPT2
22907,DHX30
7407,VARS1
196528,ARID2
9230,RAB11B
6400,SEL1L
80000,GREB1L
23269,MGA
29761,USP25
4054,LTBP3
10075,HUWE1
2987,GUK1
8733,GPAA1
4688,NCF2
199699,DAND5
5279,PIGC
50943,FOXP3
26353,HSPB8
148345,CIROZ
84162,BLTP1
1806,DPYD
2902,GRIN1
2263,FGFR2
5447,POR
10587,TXNRD2
3861,KRT14
2561,GABRB2
54822,TRPM7
9837,GINS1
7187,TRAF3
9531,BAG3
80336,PABPC1L
25953,PNKD
128338,DRAM2
10560,SLC19A2
388753,COA6
116150,NUS1
493753,COA5
4915,NTRK2
79947,DHDDS
91137,SLC25A46
57211,ADGRG6
4047,LSS
311,ANXA11
6678,SPARC
1490,CCN2
10804,GJB6
3784,KCNQ1
2632,GBE1
4891,SLC11A2
26060,APPL1
22926,ATF6
4000,LMNA
9750,RIPOR2
653361,NCF1
27019,DNAI1
3892,KRT86
2703,GJA8
26580,BSCL2
1213,CLTC
131669,UROC1
23040,MYT1L
203228,C9ORF72
11235,PDCD10
83605,CCM2
81,ACTN4
8022,LHX3
122553,TRAPPC6B
5297,PI4KA
112752,IFT43
3026,HABP2
57688,ZSWIM6
2304,FOXE1
2893,GRIA4
81562,LMAN2L
3661,IRF3
57570,TRMT5
50615,IL21R
1605,DAG1
55612,FERMT1
84433,CARD11
50945,TBX22
54802,TRIT1
51081,MRPS7
7518,XRCC4
84823,LMNB2
9786,KIAA0586
5295,PIK3R1
178,AGL
4041,LRP5
84700,MYO18B
8777,MPDZ
10383,TUBB4B
23533,PIK3R5
1285,COL4A3
65057,ACD
7471,WNT1
672,BRCA1
83452,RAB33B
7305,TYROBP
54209,TREM2
4747,NEFL
22861,NLRP1
7700,ZNF141
109,ADCY3
1453,CSNK1D
6655,SOS2
498,ATP5F1A
7072,TIA1
23646,PLD3
4638,MYLK
9853,RUSC2
9860,LRIG2
114548,NLRP3
343450,KCNT2
84818,IL17RC
220,ALDH1A3
1355,COX15
81857,MED25
4693,NDP
267010,RNU12
9742,IFT140
65267,WNK3
4522,MTHFD1
939,CD27
55159,RFWD3
25959,KANK2
375790,AGRN
8792,TNFRSF11A
200205,IBA57
51111,KMT5B
790,CAD
55689,YEATS2
80155,NAA15
526,ATP6V1B2
28960,DCPS
1991,ELANE
146057,TTBK2
51083,GAL
80153,EDC3
55870,ASH1L
25885,POLR1A
79797,ZNF408
816,CAMK2B
815,CAMK2A
152926,PPM1K
5426,POLE
1441,CSF3R
4059,BCAM
1303,COL12A1
55714,TENM3
246243,RNASEH1
1482,NKX2-5
5950,RBP4
8241,RBM10
9051,PSTPIP1
51594,NBAS
83861,RSPH3
85301,COL27A1
84879,MFSD2A
1763,DNA2
27089,UQCRQ
1001,CDH3
3481,IGF2
54902,TTC19
6023,RMRP
59335,PRDM12
7381,UQCRB
6323,SCN1A
79188,TMEM43
9533,POLR1C
7385,UQCRC2
3630,INS
6934,TCF7L2
5078,PAX4
3667,IRS1
6927,HNF1A
3569,IL6
3767,KCNJ11
5770,PTPN1
5506,PPP1R3A
169026,SLC30A8
4760,NEUROD1
6514,SLC2A2
8660,IRS2
2820,GPD2
5167,ENPP1
5468,PPARG
2645,GCK
3159,HMGA1
9479,MAPK8IP1
56729,RETN
3990,LIPC
7466,WFS1
3172,HNF4A
4544,MTNR1B
3651,PDX1
10644,IGF2BP2
675,BRCA2
10280,SIGMAR1
3386,ICAM4
79651,RHBDF2
83938,LRMDA
23189,KANK1
7476,WNT7A
1832,DSP
5080,PAX6
351,APP
148789,B3GALNT2
27247,NFU1
1410,CRYAB
59345,GNB4
6576,SLC25A1
1419,CRYGB
2271,FH
2879,GPX4
3912,LAMB1
2235,FECH
51750,RTEL1
199713,NLRP7
87,ACTN1
79705,LRRK1
359,AQP2
4179,CD46
23363,OBSL1
629,CFB
6916,TBXAS1
3426,CFI
7056,THBD
718,C3
3848,KRT1
7155,TOP2B
3939,LDHA
1130,LYST
2027,ENO3
7846,TUBA1A
54344,DPM3
9179,AP4M1
2710,GK
79068,FTO
3417,IDH1
7157,TP53
2064,ERBB2
7170,TPM3
7169,TPM2
291,SLC25A4
5831,PYCR1
55975,KLHL7
92344,GORAB
2218,FKTN
3897,L1CAM
23203,PMPCA
56652,TWNK
8604,SLC25A12
2771,GNAI2
27031,NPHP3
6795,AURKC
85366,MYLK2
4624,MYH6
390594,KBTBD13
2706,GJB2
8635,RNASET2
1200,TPP1
8398,PLA2G6
25939,SAMHD1
5573,PRKAR1A
6640,SNTA1
1804,DPP6
54507,ADAMTSL4
977,CD151
9927,MFN2
2254,FGF9
2516,NR5A1
2301,FOXE3
6469,SHH
11200,CHEK2
10060,ABCC9
64131,XYLT1
368,ABCC6
79365,BHLHE41
200373,CFAP221
23529,CLCF1
9657,IQCB1
3549,IHH
3851,KRT4
4668,NAGA
9487,PIGL
84233,TMEM126A
84153,RNASEH2C
4254,KITLG
10535,RNASEH2A
117155,CATSPER2
117144,CATSPER1
161497,STRC
8823,FGF16
23224,SYNE2
8517,IKBKG
9935,MAFB
23345,SYNE1
10262,SF3B4
80821,DDHD1
494513,PJVK
84515,MCM8
5894,RAF1
2997,GYS1
79755,ZNF750
3291,HSD11B2
2629,GBA1
3909,LAMA3
23322,RPGRIP1L
846,CASR
4868,NPHS1
7827,NPHS2
1687,GSDME
1427,CRYGS
1029,CDKN2A
5173,PDYN
10939,AFG3L2
7840,ALMS1
5896,RAG1
5897,RAG2
6598,SMARCB1
4212,MEIS2
65055,REEP1
217,ALDH2
79813,EHMT1
6663,SOX10
1174,AP1S1
4292,MLH1
121512,FGD4
7915,ALDH5A1
2335,FN1
129563,DIS3L2
10585,POMT1
117531,TMC1
59341,TRPV4
259236,TMIE
443,ASPA
1938,EEF2
1836,SLC26A2
83394,PITPNM3
1545,CYP1B1
4053,LTBP2
7010,TEK
222662,LHFPL5
8419,BFSP2
79751,SLC25A22
8626,TP63
9719,ADAMTSL2
9321,TRIP11
554,AVPR2
1299,COL9A3
488,ATP2A2
4920,ROR2
5122,PCSK1
50484,RRM2B
64218,SEMA4A
1535,CYBA
157570,ESCO2
23636,NUP62
9775,EIF4A3
93183,PIGM
27429,HTRA2
10382,TUBB4A
1861,TOR1A
1738,DLD
7080,NKX2-1
91179,SCARF2
287,ANK2
10525,HYOU1
11093,ADAMTS13
6301,SARS1
56155,TEX14
254528,MEIOB
324,APC
7784,ZP3
5530,PPP3CA
10352,WARS2
708,C1QBP
124583,CANT1
10095,ARPC1B
2232,FDXR
2178,FANCE
7453,WARS1
55644,OSGEP
2006,ELN
4352,MPL
3643,INSR
2464,FRA16E
112858,TP53RK
163786,SASS6
84617,TUBB6
51002,TPRKB
162514,TRPV3
2548,GAA
1917,EEF1A2
2697,GJA1
7222,TRPC3
1314,COPA
4780,NFE2L2
9213,XPR1
197135,PATL2
1293,COL6A3
89,ACTN3
54805,CNNM2
4913,NTHL1
10342,TFG
29929,ALG6
9320,TRIP12
6529,SLC6A1
5879,RAC1
29920,PYCR2
3889,KRT83
6662,SOX9
2186,BPTF
51684,SUFU
4810,NHS
26229,B3GAT3
9469,CHST3
23404,EXOSC2
55331,ACER3
153241,CEP120
92935,MARS2
51776,MAP3K20
10464,PIBF1
5649,RELN
29089,UBE2T
359948,IRF2BP2
7372,UMPS
1794,DOCK2
29110,TBK1
207,AKT1
2196,FAT2
58508,KMT2C
8878,SQSTM1
100144748,KLLN
1639,DCTN1
6647,SOD1
5630,PRPH
4744,NEFH
9990,SLC12A6
261734,NPHP4
5358,PLS3
3071,NCKAP1L
10159,ATP6AP2
2525,FUT3
340533,NEXMIF
1144,CHRND
5913,RAPSN
4593,MUSK
2539,G6PD
8573,CASK
7512,XPNPEP2
4919,ROR1
6777,STAT5B
5880,RAC2
5165,PDK3
5521,PPP2R2B
4552,MTRR
3872,KRT17
23498,HAAO
24137,KIF4A
65993,MRPS34
374462,PTPRQ
64412,GZF1
8942,KYNU
6616,SNAP25
387787,LIPT2
57582,KCNT1
23426,GRIP1
6487,ST3GAL3
8239,USP9X
341640,FREM2
27229,TUBGCP4
7532,YWHAG
55690,PACS1
1288,COL4A6
3149,HMGB3
10686,CLDN16
149041,RC3H1
16,AARS1
3716,JAK1
51112,TRAPPC12
8526,DGKE
3508,IGHMBP2
57082,KNL1
284403,WDR62
2212,FCGR2A
7040,TGFB1
219285,SAMD9L
9071,CLDN10
9885,OSBPL2
55154,MSTO1
1020,CDK5
103,ADAR
7343,UBTF
150094,SIK1
85007,PHYKPL
1759,DNM1
3665,IRF7
124872,B4GALNT2
1716,DGUOK
1181,CLCN2
4620,MYH2
1420,CRYGC
4524,MTHFR
3162,HMOX1
4282,MIF
1105,CHD1
10087,CERT1
1500,CTNND1
5528,PPP2R5D
204219,CERS3
2200,FBN1
57231,SNX14
285848,PNPLA1
5073,PARN
8706,B3GALNT1
23086,EXPH5
1428,CRYM
55526,DHTKD1
55065,SLC52A1
9241,NOG
7299,TYR
5518,PPP2R1A
113612,CYP2U1
2153,F5
9895,TECPR2
2911,GRM1
402381,SOHLH1
3737,KCNA2
63982,ANO3
91574,MTRFR
55773,TBC1D23
23126,POGZ
57680,CHD8
8558,CDK10
23259,DDHD2
2147,F2
2162,F13A1
27125,AFF4
92609,TIMM50
1909,EDNRA
5836,PYGL
58,ACTA1
7173,TPO
124590,USH1G
10329,RXYLT1
8818,DPM2
122961,ISCA2
8989,TRPA1
83636,C19ORF12
400916,CHCHD10
149233,IL23R
57679,ALS2
345193,LRIT3
6635,SNRPE
5741,PTH
286204,CRB2
6017,RLBP1
5959,RDH5
2071,ERCC3
404672,GTF2H5
26160,IFT172
3752,KCND3
93233,ODAD1
79734,KCTD17
9427,ECEL1
55151,TMEM38B
344,APOC2
2583,B4GALNT1
7046,TGFBR1
7227,TRPS1
9949,AMMECR1
139212,DNAAF6
51574,LARP7
57459,GATAD2B
6134,RPL10
1499,CTNNB1
1291,COL6A1
2774,GNAL
8473,OGT
9526,MPDU1
317719,KLHL10
442186,OR2J3
29887,SNX10
1747,DLX3
92667,MGME1
8492,PRSS12
2250,FGF5
176,ACAN
23218,NBEAL2
10916,MAGED2
57534,MIB1
1977,EIF4E
51132,RLIM
63925,ZNF335
537,ATP6AP1
3756,KCNH1
8622,PDE8B
91851,CHRDL1
2010,EMD
3858,KRT10
5077,PAX3
80311,KLHL15
22852,ANKRD26
4478,MSN
633,BGN
1814,DRD3
9758,FRMPD4
389856,USP27X
10149,ADGRG2
3188,HNRNPH2
7253,TSHR
10058,ABCB6
1244,ABCC2
6324,SCN1B
7045,TGFBI
24,ABCA4
57187,THOC2
3236,HOXD10
54539,NDUFB11
7737,RNF113A
55651,NHP2
55505,NOP10
6935,ZEB1
1296,COL8A2
79574,EPS8L3
83706,FERMT3
9060,PAPSS2
259197,NCR3
10682,EBP
6872,TAF1
4841,NONO
28952,CCDC22
3557,IL1RN
7297,TYK2
1654,DDX3X
57038,RARS2
23385,NCSTN
3145,HMBS
4645,MYO5B
3728,JUP
51119,SBDS
4683,NBN
5551,PRF1
2617,GARS1
2299,FOXI1
3766,KCNJ10
5172,SLC26A4
81624,DIAPH3
25978,CHMP2B
6906,SERPINA7
6748,SSR4
4094,MAF
11043,MID2
283989,TSEN54
875,CBS
4853,NOTCH2
5354,PLP1
83550,GPR101
90121,TSR2
272,AMPD3
4327,MMP19
51473,DCDC2
6559,SLC12A3
1414,CRYBB1
1829,DSG2
135935,NOBOX
9987,HNRNPDL
161742,SPRED1
50717,DCAF8
673,BRAF
730,C7
79083,MLPH
5352,PLOD2
1411,CRYBA1
7879,RAB7A
3717,JAK2
2512,FTL
146167,SLC38A8
8754,ADAM9
144568,A2ML1
525,ATP6V1B1
1301,COL11A1
84876,ORAI1
220074,LRTOMT
50814,NSDHL
2688,GH1
3988,LIPA
6261,RYR1
6786,STIM1
5015,OTX2
26504,CNNM4
1509,CTSD
9499,MYOT
80326,WNT10A
51057,WDPCP
11232,POLG2
70,ACTC1
64241,ABCG8
55636,CHD7
1729,DIAPH1
113235,SLC46A1
1906,EDN1
5625,PRODH
7168,TPM1
4607,MYBPC3
51422,PRKAG2
7139,TNNT2
1277,COL1A1
799,CALCR
8572,PDLIM4
153562,MARVELD2
107,ADCY1
5340,PLG
866,SERPINA6
2488,FSHB
6899,TBX1
2627,GATA6
137814,NKX2-6
132884,EVC2
2121,EVC
1186,CLCN7
9992,KCNE2
919,CD247
9842,PLEKHM1
84662,GLIS2
7048,TGFBR2
50511,SYCP3
2303,FOXC2
2316,FLNA
23592,LEMD3
6708,SPTA1
79621,RNASEH2B
7026,NR2F2
124997,WDR81
23414,ZFPM2
3596,IL13
117156,SCGB3A2
7124,TNF
3135,HLA-G
4589,MUC7
3176,HNMT
240,ALOX5
5648,MASP1
26115,TANC2
5324,PLAG1
8091,HMGA2
3718,JAK3
5244,ABCB4
6652,SORD
137682,NDUFAF6
23291,FBXW11
131118,DNAJC19
4363,ABCC1
169792,GLIS3
55152,DALRD3
23097,CDK19
2891,GRIA2
4131,MAP1B
83872,HMCN1
10878,CFHR3
3078,CFHR1
6326,SCN2A
1000,CDH2
5837,PYGM
2917,GRM7
4361,MRE11
23746,AIPL1
55764,IFT122
717,C2
25,ABL1
79415,CYBC1
56479,KCNQ5
23152,CIC
149461,CLDN19
80736,SLC44A4
23312,DMXL2
29980,DONSON
9863,MAGI2
401138,AMTN
84172,POLR1B
60,ACTB
9997,SCO2
200879,LIPH
10755,GIPC1
81689,ISCA1
2517,FUCA1
55329,MNS1
199221,DZIP1L
80232,WDR26
3570,IL6R
1890,TYMP
5428,POLG
1180,CLCN1
26503,SLC17A5
55617,TASP1
6182,MRPL12
28957,MRPS28
80210,ARMC9
4190,MDH1
2625,GATA3
51649,MRPS23
5978,REST
9371,KIF3B
9681,DEPDC5
10137,RBM12
8292,COLQ
113246,C12ORF57
80208,SPG11
1123,CHN1
51,ACOX1
5331,PLCB3
10274,STAG1
4038,LRP4
10625,IVNS1ABP
7515,XRCC1
5726,TAS2R38
57728,WDR19
64787,EPS8L2
84059,ADGRV1
8864,PER2
5631,PRPS1
5205,ATP8B1
9699,RIMS2
55553,SOX6
1468,SLC25A10
8884,SLC5A6
23288,IQCE
5087,PBX1
1140,CHRNB1
676,BRDT
84148,KAT8
4654,MYOD1
114902,C1QTNF5
5274,SERPINI1
1409,CRYAA
6622,SNCA
29899,GPSM2
4287,ATXN3
104,ADARB1
91452,ACBD5
50651,SLC45A1
151648,SGO1
83932,SPRTN
8029,CUBN
23446,SLC44A1
2895,GRID2
85446,ZFHX2
2972,BRF1
7277,TUBA4A
100996717,NOTCH2NLC
3008,H1-4
6390,SDHB
6391,SDHC
6392,SDHD
116931,MED12L
387119,CEP85L
10300,KATNB1
1630,DCC
51741,WWOX
55790,CSGALNACT1
64072,CDH23
1723,DHODH
10026,PIGK
755,CFAP410
2120,ETV6
375387,NRROS
472,ATM
10501,SEMA6B
84570,COL25A1
5610,EIF2AK2
27102,EIF2AK1
23022,PALLD
220202,ATOH7
9289,ADGRG1
81693,AMN
9247,GCM2
2590,GALNT2
80781,COL18A1
3694,ITGB6
130589,GALM
199857,ALG14
7528,YY1
9581,PREPL
6773,STAT2
90993,CREB3L1
23761,PISD
85365,ALG2
28234,SLCO1B3
10599,SLCO1B1
958,CD40
8726,EED
10715,CERS1
84504,NKX6-2
26284,ERAL1
25930,PTPN23
4174,MCM5
833,CARS1
84314,TMEM107
1371,CPOX
844,CASQ1
9394,HS6ST1
2253,FGF8
26012,NSMF
2796,GNRH1
2798,GNRHR
2260,FGFR1
6866,TAC3
9723,SEMA3E
3730,ANOS1
55717,WDR11
6870,TACR3
60675,PROK2
285025,CCDC141
558,AXL
10371,SEMA3A
389549,FEZF1
84634,KISS1R
10011,SRA1
128674,PROKR2
3814,KISS1
54840,APTX
79731,NARS2
6820,SULT2B1
25981,DNAH1
8879,SGPL1
121214,SDR9C7
23461,ABCA5
805,CALM2
100128927,ZBTB42
801,CALM1
6523,SLC5A1
3931,LCAT
4882,NPR2
5971,RELB
9474,ATG5
3859,KRT12
9928,KIF14
51651,PTRH2
55779,CFAP44
80217,CFAP43
5692,PSMB4
54941,RNF125
9319,TRIP13
11284,PNKP
259232,NALCN
2954,GSTZ1
10463,SLC30A9
388662,SLC6A17
51227,PIGP
7994,KAT6A
6528,SLC5A5
257,ALX3
258,AMBN
1749,DLX5
81570,CLPB
5825,ABCD3
1892,ECHS1
51117,COQ4
146862,UNC45B
54583,EGLN1
84706,GPT2
4141,MARS1
4547,MTTP
126129,CPT1C
3691,ITGB4
3655,ITGA6
5351,PLOD1
50,ACO2
112,ADCY6
8506,CNTNAP1
85476,GFM1
203547,VMA21
256297,PTF1A
6548,SLC9A1
831,CAST
9871,SEC24D
117581,TWIST2
51601,LIPT1
23586,RIGI
55215,FANCI
83990,BRIP1
8869,ST3GAL5
34,ACADM
79641,ROGDI
5318,PKP2
1019,CDK4
10157,AASS
6491,STIL
3913,LAMB2
105259599,-
3119,HLA-DQB1
1828,DSG1
9509,ADAMTS2
79644,SRD5A3
145226,RDH12
412,STS
84701,COX4I2
6697,SPR
2628,GATM
668,FOXL2
6338,SCNN1B
37,ACADVL
35,ACADS
2033,EP300
1387,CREBBP
788,SLC25A20
538,ATP7A
10283,CWC27
960,CD44
4534,MTM1
285590,SH3PXD2B
10483,SEC23B
23230,VPS13A
3030,HADHA
2593,GAMT
4322,MMP13
7414,VCL
7390,UROS
210,ALAD
83715,ESPN
2395,FXN
53947,A4GALT
23193,GANAB
146059,CDAN1
6584,SLC22A5
2077,ERF
158,ADSL
7517,XRCC3
2904,GRIN2B
2707,GJB3
3209,HOXA13
3048,HBG2
345895,RSPH4A
3039,HBA1
3040,HBA2
80207,OPA3
4758,NEU1
2255,FGF10
9620,CELSR1
5176,SERPINF1
221421,RSPH9
24148,PRPF6
3759,KCNJ2
121391,KRT74
22858,CILK1
6507,SLC1A3
3043,HBB
109580095,-
55135,WRAP53
5476,CTSA
7535,ZAP70
26277,TINF2
274,BIN1
2055,CLN8
7132,TNFRSF1A
36,ACADSB
55325,UFSP2
1175,AP2S1
6262,RYR2
659,BMPR2
10786,SLC17A3
26090,ABHD12
9131,AIFM1
2752,GLUL
79443,FYCO1
26227,PHGDH
6566,SLC16A1
5149,PDE6H
5979,RET
728294,D2HGDH
9095,TBX19
2038,EPB42
974,CD79B
9896,FIG4
57057,TBX20
347733,TUBB2B
23396,PIP5K1C
1811,SLC26A3
1028,CDKN1C
10984,KCNQ1OT1
26047,CNTNAP2
5885,RAD21
1634,DCN
63901,FAM111A
1184,CLCN5
3918,LAMC2
25861,WHRN
23431,AP4E1
631,BFSP1
1356,CP
4353,MPO
5328,PLAU
164656,TMPRSS6
6443,SGCB
8671,SLC4A4
23511,NUP188
